csv_index,first_name,last_name,full_name,company,company_domain,title,linkedin_url,twitter_url
296,Prateek,Agarwal,Prateek Agarwal,First Cheque,firstcheque.vc,,https://www.linkedin.com/in/fcwalaprateek/,https://twitter.com/FCwalaPrateek
308,Anindya,Ghoshal,Anindya Ghoshal,Hellman and Friedman,Hellman and Friedman,,https://www.linkedin.com/in/anindya-ghoshal,
320,Vinutha,Rallapalli,Vinutha Rallapalli,Innovex Capital,Innovex Capital,,https://www.linkedin.com/in/vinutha-naga-rallapalli-31808a67,
326,Siddesh,Choudhary,Siddesh Choudhary,Accel,accel.com,,https://www.linkedin.com/in/sid239/,
359,Aayushi,Shah,Aayushi Shah,ITI Growth Opportunities,itigo.in,,https://www.linkedin.com/in/aayushi-shah-78b28780/,
361,Ranopriyo,Choudhury,Ranopriyo Choudhury,Growth valley,growthvalley.in,,https://www.linkedin.com/in/ranopriyo-choudhury-853a1b9,
439,Rick,Gerson,Rick Gerson,Alpha Wave Global,alphawaveglobal.com,"Co-Founder, Chairman & Chief Executive Officer",https://www.linkedin.com/in/rick-gerson,
440,Navroz,D. Udwadia,Navroz D. Udwadia,Alpha Wave Global,alphawaveglobal.com,Co-Founder and Partner,https://www.linkedin.com/in/navroz-d-udwadia-bb9b3372,
446,MV,Subramanian,MV Subramanian,July Ventures,julyventures.com,General Partner,https://www.linkedin.com/in/mvsmani,
449,Shruti,Jain,Shruti Jain,Xeed Ventures,xeedvc.com,Principal,https://www.linkedin.com/in/shruti-jain-60661657,
452,Deepak,I. Shahdadpuri,Deepak I. Shahdadpuri,DSG Consumer Partners,dsgcp.com,Managing Director,https://www.linkedin.com/in/deepakishahdadpuri,https://x.com/dishahdadpuri
453,Manu,Rikhye,Manu Rikhye,Merak Ventures,merakventures.com,Partner,https://www.linkedin.com/in/manu-rikhye-b9b9391,
456,Piyush,Mathur,Piyush Mathur,Theia Ventures,theia-ventures.com,Venture Partner,https://www.linkedin.com/in/piyush-mathur-373125,
457,Rajat,Kedia,Rajat Kedia,Manjushree Ventures,manjushreeventures.com,"Managing Partner, Manjushree Ventures",https://www.linkedin.com/in/rajatkedia,
462,Anne,Dwane,Anne Dwane,Village Global,villageglobal.vc,General Partner,https://www.linkedin.com/in/dwane,https://x.com/adwane
463,Arjun,Malhotra,Arjun Malhotra,Investopad,investopad.com,Partner,https://www.linkedin.com/in/arjun-malhotra-investopad,
468,Gaurav,Gupta,Gaurav Gupta,C4D Partners,c4dpartners.com,Managing Partner,https://www.linkedin.com/in/gaurav-gupta-01767b13,
476,Kee,Lock CHUA,Kee Lock CHUA,Vertex Ventures SE Asia & India,vertexventures.sg,Managing Partner,https://www.linkedin.com/in/kee-lock-chua-663119,
477,Joo,Hock CHUA,Joo Hock CHUA,Vertex Ventures SE Asia & India,vertexventures.sg,Managing Partner,https://www.linkedin.com/in/joo-hock-chua-8b87181,
483,Kuo-Yi,Lim,Kuo-Yi Lim,Monk's Hill Venture,monkshill.com,founder,https://www.linkedin.com/in/limky,
484,Jenny,Fielding,Jenny Fielding,Everywhere Ventures,everywhere.vc,co-founder & GENERAL partner,https://www.linkedin.com/in/jennyfielding,
