name,website,type,stages
"888 VC","https://888vc.co","Accelerator","Pre-Seed"
"a-IDEA NAARM","https://www.aidea.naarm.org.in","Accelerator","Pre-Seed"
"Acumen Academy India","https://acumenacademy.org","Accelerator","Pre-Seed"
"Agri Udaan","https://www.agriudaan.com","Accelerator","Pre-Seed"
"Amrita TBI","https://www.amrita.edu","Accelerator","Pre-Seed"
"Antler","https://www.antler.co","Accelerator","Pre-Seed"
"Ashoka University Entrepreneurship","https://www.ashoka.edu.in","Accelerator","Pre-Seed"
"AWS Activate India","https://aws.amazon.com/startups","Accelerator","Pre-Seed"
"Bangalore Bioinnovation Centre Angels / BBC","https://www.bioinnovationcentre.com","Accelerator","Pre-Seed"
"BIRAC","https://www.birac.nic.in","Accelerator","Pre-Seed"
"BITS Pilani TBI","https://www.bits-pilani.ac.in","Accelerator","Pre-Seed"
"Bosch Startup Harbor India","https://www.bosch.com","Accelerator","Pre-Seed"
"C-CAMP","https://www.ccamp.res.in","Accelerator","Pre-Seed"
"Cashfree for Startups","https://www.cashfree.com","Accelerator","Pre-Seed"
"CIE IIIT Hyderabad","https://cie.iiit.ac.in","Accelerator","Pre-Seed"
"CIIE.CO","https://ciie.co","Accelerator","Pre-Seed"
"Cisco LaunchPad","https://launchpad.cisco.com","Accelerator","Pre-Seed"
"Dasra","https://www.dasra.org","Accelerator","Pre-Seed"
"Deshpande Startups","https://www.deshpandefoundation.org","Accelerator","Pre-Seed"
"Electropreneur Park","https://www.electropreneurpark.com","Accelerator","Pre-Seed"
"Entrepreneur First","https://www.joinef.com","Accelerator","Pre-Seed"
"FITT IIT Delhi","https://fitt-iitd.in","Accelerator","Pre-Seed"
"Forge Innovation & Ventures","https://www.forgeforward.in","Accelerator","Pre-Seed"
"Founders Institute Bangalore","https://fi.co","Accelerator","Pre-Seed"
"Founders Institute Hyderabad","https://fi.co","Accelerator","Pre-Seed"
"Founders Institute Mumbai","https://fi.co","Accelerator","Pre-Seed"
"Goa Startup Mission","https://www.goa.gov.in","Accelerator","Pre-Seed"
"Google for Startups Accelerator India","https://startup.google.com","Accelerator","Pre-Seed"
"Gujarat Student Startup Innovation Hub / i-Hub","https://www.startupgujarat.in","Accelerator","Pre-Seed"
"Headstart Network Foundation","https://www.headstart.in","Accelerator","Pre-Seed"
"iCreate","https://www.icreate.org.in","Accelerator","Pre-Seed"
"iDEX","https://idex.gov.in","Accelerator","Pre-Seed"
"IIM Calcutta Innovation Park","https://www.iimcip.org","Accelerator","Pre-Seed"
"IIM Kozhikode LIVE","https://iimk.ac.in","Accelerator","Pre-Seed"
"IIM Lucknow Enterprise Incubator","https://www.iiml.ac.in","Accelerator","Pre-Seed"
"IISc SID","https://sid.iisc.ac.in","Accelerator","Pre-Seed"
"IIT Bhubaneswar Research & Entrepreneurship Park","https://www.iitbbs.ac.in","Accelerator","Pre-Seed"
"IIT Guwahati Technology Incubation Centre","https://www.iitg.ac.in","Accelerator","Pre-Seed"
"IIT Hyderabad i-TIC","https://i-tic.iith.ac.in","Accelerator","Pre-Seed"
"IIT Indore Innovation","https://www.iiti.ac.in","Accelerator","Pre-Seed"
"IIT Madras Incubation Cell","https://www.incubation.iitm.ac.in","Accelerator","Pre-Seed"
"IIT Mandi Catalyst","https://www.iitmandi.ac.in","Accelerator","Pre-Seed"
"IIT Roorkee TIDES","https://www.iitr.ac.in","Accelerator","Pre-Seed"
"IIT Ropar Incubation Foundation","https://www.iitrpr.ac.in","Accelerator","Pre-Seed"
"IKP Knowledge Park","https://www.ikpknowledgepark.com","Accelerator","Pre-Seed"
"Intel India Ignite","https://www.intel.in","Accelerator","Pre-Seed"
"Intellecap","https://www.intellecap.com","Accelerator","Pre-Seed"
"ISB DLabs / CEL","https://cel.isb.edu","Accelerator","Pre-Seed"
"JioGenNext","https://www.jiogennext.com","Accelerator","Pre-Seed"
"Karnataka Innovation Authority / Elevate","https://startup.karnataka.gov.in","Accelerator","Pre-Seed"
"Kerala Startup Mission","https://startupmission.kerala.gov.in","Accelerator","Pre-Seed"
