Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
WaterBridge Ventures,VC,"Seed, Series A, Series B",,Sector Agnostic,$500K – $3M,https://waterbridge.vc,,,,,,Unverified – inferred,HQ India,https://waterbridge.vc,A,pending_confirmation
SRI Capital,VC,"Seed, Series A",,"SaaS / Enterprise, Fintech",$250K – $2M,https://sricapital.com,,,,,,Unverified – inferred,India practice (global),https://sricapital.com,A,pending_confirmation
Force Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,$100K – $500K,https://force.vc,,,,,,Unverified – inferred,HQ India,https://force.vc,A,pending_confirmation
Inflection Point Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,$50K – $250K,https://ipventures.in,,,,,,Unverified – inferred,HQ India,https://ipventures.in,A,pending_confirmation
9Unicorns,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,$25K – $250K,https://9unicorns.com,,,,,,Unverified – inferred,HQ India,https://9unicorns.com,A,pending_confirmation
LetsVenture,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://www.letsventure.com,,,,,,Unverified – inferred,HQ India,https://www.letsventure.com,A,pending_confirmation
Mumbai Angels Network,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://www.mumbaiangels.com,,,,,,Unverified – inferred,HQ India,https://www.mumbaiangels.com,A,pending_confirmation
Hyderabad Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://hyderabadangels.com,,,,,,Unverified – inferred,HQ India,https://hyderabadangels.com,A,pending_confirmation
Lead Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://leadangels.in,,,,,,Unverified – inferred,HQ India,https://leadangels.in,A,pending_confirmation
Calcutta Angels Network,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://calcuttaangels.com,,,,,,Unverified – inferred,HQ India,https://calcuttaangels.com,A,pending_confirmation
Native Smart Capital,VC,"Pre-Seed, Seed",,Consumer / D2C,,https://nativesmart.capital,,,,,,Unverified – inferred,HQ India,https://nativesmart.capital,A,pending_confirmation
Info Edge Ventures,Corporate / CVC,"Seed, Series A, Series B",,"Consumer / D2C, SaaS / Enterprise",,https://www.infoedge.com,,,,,,Unverified – inferred,HQ India,https://www.infoedge.com,A,pending_confirmation
Flipkart Ventures,Corporate / CVC,"Seed, Series A",,"Consumer / D2C, Logistics",,https://stories.flipkart.com,,,,,,Unverified – inferred,HQ India,https://stories.flipkart.com,A,pending_confirmation
JioGenNext,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.jiogennext.com,,,,,,Unverified – inferred,HQ India,https://www.jiogennext.com,A,pending_confirmation
Reliance Ventures,Corporate / CVC,"Series A, Series B, Growth",,"Climate / Sustainability, Deep Tech",,https://www.ril.com,,,,,,Unverified – inferred,HQ India,https://www.ril.com,A,pending_confirmation
Mahindra Partners,Corporate / CVC,"Series A, Series B, Growth",,Sector Agnostic,,https://www.mahindrapartners.com,,,,,,Unverified – inferred,HQ India,https://www.mahindrapartners.com,A,pending_confirmation
SIDBI Venture Capital,VC,"Seed, Series A",,Sector Agnostic,,https://www.sidbiventure.co.in,,,,,,Unverified – inferred,HQ India,https://www.sidbiventure.co.in,A,pending_confirmation
Canbank Venture Capital Fund,VC,"Seed, Series A",,Sector Agnostic,,https://www.canbankventure.com,,,,,,Unverified – inferred,HQ India,https://www.canbankventure.com,A,pending_confirmation
IFCI Venture Capital Funds,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.ifciventure.com,,,,,,Unverified – inferred,HQ India,https://www.ifciventure.com,A,pending_confirmation
True North,PE,"Series B, Growth, Series C+",,Sector Agnostic,,https://www.truenorth.co.in,,,,,,Unverified – inferred,HQ India,https://www.truenorth.co.in,A,pending_confirmation
ICICI Venture,PE,"Series B, Growth, Series C+",,Sector Agnostic,,https://www.iciciventure.com,,,,,,Unverified – inferred,HQ India,https://www.iciciventure.com,A,pending_confirmation
Kotak Private Equity,PE,"Growth, Series C+",,Sector Agnostic,,https://www.kotak.com,,,,,,Unverified – inferred,HQ India,https://www.kotak.com,A,pending_confirmation
Acumen,VC,"Seed, Series A",,Social Impact,,https://acumen.org,,,,,,Unverified – inferred,Active India cheque,https://acumen.org,A,pending_confirmation
Patamar Capital,VC,"Seed, Series A",,"Fintech, Impact",,https://patamar.com,,,,,,Unverified – inferred,India practice (global),https://patamar.com,A,pending_confirmation
Quona Capital,VC,"Seed, Series A, Series B",,Fintech,,https://quona.com,,,,,,Unverified – inferred,Active India cheque,https://quona.com,A,pending_confirmation
Flourish Ventures,VC,"Seed, Series A",,Fintech,,https://flourishventures.com,,,,,,Unverified – inferred,Active India cheque,https://flourishventures.com,A,pending_confirmation
Greyhound Capital,VC,"Series A, Series B, Growth",,"Consumer / D2C, Fintech",,https://greyhoundcap.com,,,,,,Unverified – inferred,Active India cheque,https://greyhoundcap.com,A,pending_confirmation
Steadview Capital,VC,"Series B, Growth, Series C+",,Consumer / D2C,,https://steadview.com,,,,,,Unverified – inferred,Active India cheque,https://steadview.com,A,pending_confirmation
Rebright Partners,VC,"Seed, Series A",,Sector Agnostic,,https://rebrightpartners.com,,,,,,Unverified – inferred,India practice (global),https://rebrightpartners.com,A,pending_confirmation
Entrepreneur First,Accelerator,Pre-Seed,,"Deep Tech, AI / ML",,https://www.joinef.com,,,,,,Unverified – inferred,Active India cheque,https://www.joinef.com,A,pending_confirmation
Antler,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.antler.co,,,,,,Unverified – inferred,Active India cheque,https://www.antler.co,A,pending_confirmation
Surge,Accelerator,Seed,,Sector Agnostic,,https://surge.com,,Peak XV Surge,,,,Unverified – inferred,HQ India,https://surge.com,A,pending_confirmation
Y Combinator,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,$125K – $500K,https://www.ycombinator.com,,,,,,Unverified – inferred,Active India cheque,https://www.ycombinator.com,A,pending_confirmation
Techstars,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.techstars.com,,,,,,Unverified – inferred,Active India cheque,https://www.techstars.com,A,pending_confirmation
500 Global,VC,"Pre-Seed, Seed",,Sector Agnostic,$50K – $500K,https://500.co,,,,,,Unverified – inferred,Active India cheque,https://500.co,A,pending_confirmation
SOSV,VC,"Pre-Seed, Seed",,"Deep Tech, Health",,https://sosv.com,,,,,,Unverified – inferred,Active India cheque,https://sosv.com,A,pending_confirmation
Jungle Ventures,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.jungle.vc,,,,,,Unverified – inferred,India practice (global),https://www.jungle.vc,A,pending_confirmation
Openspace Ventures,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.openspace.vc,,,,,,Unverified – inferred,India practice (global),https://www.openspace.vc,A,pending_confirmation
Wavemaker Partners,VC,"Seed, Series A",,Sector Agnostic,,https://wavemaker.vc,,,,,,Unverified – inferred,India practice (global),https://wavemaker.vc,A,pending_confirmation
Golden Gate Ventures,VC,"Seed, Series A",,Sector Agnostic,,https://goldengate.vc,,,,,,Unverified – inferred,India practice (global),https://goldengate.vc,A,pending_confirmation
Insignia Ventures Partners,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://insignia.vc,,,,,,Unverified – inferred,India practice (global),https://insignia.vc,A,pending_confirmation
JAFCO Asia,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.jafco.asia,,,,,,Unverified – inferred,India practice (global),https://www.jafco.asia,A,pending_confirmation
Pavilion Capital,VC,"Series A, Series B, Growth",,Sector Agnostic,,https://www.pavilioncapital.com,,,,,,Unverified – inferred,Active India cheque,https://www.pavilioncapital.com,A,pending_confirmation
General Atlantic,PE,"Series B, Growth, Series C+",,Sector Agnostic,,https://www.generalatlantic.com,,,,,,Unverified – inferred,Active India cheque,https://www.generalatlantic.com,A,pending_confirmation
Bessemer Venture Partners,VC,"Seed, Series A, Series B",,SaaS / Enterprise,,https://www.bvp.com,,,,,,Unverified – inferred,India practice (global),https://www.bvp.com,A,pending_confirmation
Prosus Ventures,Corporate / CVC,"Series A, Series B, Growth",,"Consumer / D2C, Fintech, Edtech",,https://www.prosus.com,,,,,,Unverified – inferred,Active India cheque,https://www.prosus.com,A,pending_confirmation
Naspers Foundry,Corporate / CVC,"Seed, Series A",,"Consumer / D2C, Fintech",,https://www.naspers.com,,,,,,Unverified – inferred,Active India cheque,https://www.naspers.com,A,pending_confirmation
Temasek,PE,"Growth, Series C+",,Sector Agnostic,,https://www.temasek.com.sg,,,,,,Unverified – inferred,Active India cheque,https://www.temasek.com.sg,A,pending_confirmation
GIC Private Limited,PE,"Growth, Series C+",,Sector Agnostic,,https://www.gic.com.sg,,,,,,Unverified – inferred,Active India cheque,https://www.gic.com.sg,A,pending_confirmation
SoftBank Investment Advisers,VC,"Series B, Growth, Series C+",,Sector Agnostic,,https://group.softbank,,,,,,Unverified – inferred,Active India cheque,https://group.softbank,A,pending_confirmation
SoftBank Ventures Asia,VC,"Seed, Series A, Series B",,Sector Agnostic,,https://www.softbank.com,,,,,,Unverified – inferred,Active India cheque,https://visionfund.softbank,A,pending_confirmation
Insight Partners,VC,"Series A, Series B, Growth",,SaaS / Enterprise,,https://www.insightpartners.com,,,,,,Unverified – inferred,Active India cheque,https://www.insightpartners.com,A,pending_confirmation
Coatue Management,VC,"Series A, Series B, Growth",,"AI / ML, Consumer / D2C",,https://www.coatue.com,,,,,,Unverified – inferred,Active India cheque,https://www.coatue.com,A,pending_confirmation
DST Global,VC,"Series B, Growth, Series C+",,"Consumer / D2C, Fintech",,https://dstglobal.com,,,,,,Unverified – inferred,Active India cheque,https://dstglobal.com,A,pending_confirmation
Dragoneer Investment Group,VC,"Growth, Series C+",,Sector Agnostic,,https://www.dragoneer.com,,,,,,Unverified – inferred,Active India cheque,https://www.dragoneer.com,A,pending_confirmation
Blackstone Growth,PE,"Growth, Series C+",,Sector Agnostic,,https://www.blackstone.com,,,,,,Unverified – inferred,Active India cheque,https://www.blackstone.com,A,pending_confirmation
Warburg Pincus,PE,"Growth, Series C+",,Sector Agnostic,,https://www.warburgpincus.com,,,,,,Unverified – inferred,Active India cheque,https://www.warburgpincus.com,A,pending_confirmation
KKR,PE,"Growth, Series C+",,Sector Agnostic,,https://www.kkr.com,,,,,,Unverified – inferred,Active India cheque,https://www.kkr.com,A,pending_confirmation
Bain Capital,PE,"Growth, Series C+",,Sector Agnostic,,https://www.baincapital.com,,,,,,Unverified – inferred,Active India cheque,https://www.baincapital.com,A,pending_confirmation
Advent International,PE,"Growth, Series C+",,Sector Agnostic,,https://www.adventinternational.com,,,,,,Unverified – inferred,Active India cheque,https://www.adventinternational.com,A,pending_confirmation
Carlyle Group,PE,"Growth, Series C+",,Sector Agnostic,,https://www.carlyle.com,,,,,,Unverified – inferred,Active India cheque,https://www.carlyle.com,A,pending_confirmation
Apax Partners,PE,"Growth, Series C+",,Sector Agnostic,,https://www.apax.com,,,,,,Unverified – inferred,Active India cheque,https://www.apax.com,A,pending_confirmation
Creador,PE,"Growth, Series B, Series C+",,Sector Agnostic,,https://www.creador.com,,,,,,Unverified – inferred,Active India cheque,https://www.creador.com,A,pending_confirmation
British International Investment,VC,"Series A, Series B, Growth",,"Impact, Fintech, Climate / Sustainability",,https://www.bii.co.uk,,,,,,Unverified – inferred,Active India cheque,https://www.bii.co.uk,A,pending_confirmation
Norfund,VC,"Series A, Series B",,"Impact, Climate / Sustainability",,https://www.norfund.no,,,,,,Unverified – inferred,Active India cheque,https://www.norfund.no,A,pending_confirmation
FMO Entrepreneurial Development Bank,VC,"Series A, Series B, Growth",,"Impact, Fintech",,https://www.fmo.nl,,,,,,Unverified – inferred,Active India cheque,https://www.fmo.nl,A,pending_confirmation
Proparco,VC,"Series A, Series B, Growth",,Impact,,https://www.proparco.fr,,,,,,Unverified – inferred,Active India cheque,https://www.proparco.fr,A,pending_confirmation
Michael & Susan Dell Foundation,VC,"Seed, Series A",,"Social Impact, Edtech, Fintech",,https://www.dell.org,,,,,,Unverified – inferred,Active India cheque,https://www.dell.org,A,pending_confirmation
Qualcomm Ventures,Corporate / CVC,"Seed, Series A, Series B",,"Deep Tech, AI / ML",,https://www.qualcommventures.com,,,,,,Unverified – inferred,Active India cheque,https://www.qualcommventures.com,A,pending_confirmation
Intel Capital,Corporate / CVC,"Seed, Series A, Series B",,"Deep Tech, AI / ML",,https://www.intelcapital.com,,,,,,Unverified – inferred,Active India cheque,https://www.intelcapital.com,A,pending_confirmation
Cisco Investments,Corporate / CVC,"Series A, Series B",,"SaaS / Enterprise, Deep Tech",,https://www.cisco.com,,,,,,Unverified – inferred,Active India cheque,https://www.cisco.com/c/en/us/about/corporate-strategy-office/investments.html,A,pending_confirmation
Samsung Ventures,Corporate / CVC,"Seed, Series A, Series B",,Deep Tech,,https://www.samsungventures.com,,,,,,Unverified – inferred,Active India cheque,https://www.samsungventures.com,A,pending_confirmation
M12,Corporate / CVC,"Seed, Series A, Series B",,"SaaS / Enterprise, AI / ML",,https://m12.vc,,,,,,Unverified – inferred,Active India cheque,https://m12.vc,A,pending_confirmation
Gradient Ventures,Corporate / CVC,"Seed, Series A",,AI / ML,,https://www.gradient.com,,Google AI VC,,,,Unverified – inferred,Active India cheque,https://www.gradient.com,A,pending_confirmation
Amazon Smbhav Venture Fund,Corporate / CVC,"Seed, Series A",,"Consumer / D2C, Logistics",,https://www.aboutamazon.in,,,,,,Unverified – inferred,HQ India,https://www.aboutamazon.in,A,pending_confirmation
SC Ventures,Corporate / CVC,"Seed, Series A",,Fintech,,https://www.sc.com/en/ventures/,,,,,,Unverified – inferred,Active India cheque,https://www.sc.com/en/ventures/,A,pending_confirmation
Unilever Ventures,Corporate / CVC,"Seed, Series A",,Consumer / D2C,,https://www.unileverventures.com,,,,,,Unverified – inferred,Active India cheque,https://www.unileverventures.com,A,pending_confirmation
Brand Capital,Corporate / CVC,"Seed, Series A",,"Consumer / D2C, Media",,https://brandcapital.co.in,,Times Internet,,,,Unverified – inferred,HQ India,https://brandcapital.co.in,A,pending_confirmation
Nazara Ventures,Corporate / CVC,"Seed, Series A",,Gaming / Media,,https://www.nazara.com,,,,,,Unverified – inferred,HQ India,https://www.nazara.com,A,pending_confirmation
Sony Innovation Fund,Corporate / CVC,"Seed, Series A",,"Gaming / Media, Deep Tech",,https://www.sonyinnovationfund.com,,,,,,Unverified – inferred,Active India cheque,https://www.sonyinnovationfund.com,A,pending_confirmation
next47,Corporate / CVC,"Seed, Series A, Series B",,Deep Tech,,https://next47.com,,Siemens,,,,Unverified – inferred,Active India cheque,https://next47.com,A,pending_confirmation
SE Ventures,Corporate / CVC,"Seed, Series A",,Climate / Sustainability,,https://se.ventures,,Schneider Electric,,,,Unverified – inferred,Active India cheque,https://se.ventures,A,pending_confirmation
Shell Ventures,Corporate / CVC,"Seed, Series A, Series B",,Climate / Sustainability,,https://www.shell.com/ventures,,,,,,Unverified – inferred,Active India cheque,https://www.shell.com/ventures,A,pending_confirmation
BP Ventures,Corporate / CVC,"Seed, Series A",,Climate / Sustainability,,https://www.bp.com,,,,,,Unverified – inferred,Active India cheque,https://www.bp.com,A,pending_confirmation
Breakthrough Energy Ventures,VC,"Series A, Series B",,Climate / Sustainability,,https://www.breakthroughenergy.org,,,,,,Unverified – inferred,Active India cheque,https://www.breakthroughenergy.org,A,pending_confirmation
Lowercarbon Capital,VC,"Seed, Series A",,Climate / Sustainability,,https://lowercarboncapital.com,,,,,,Unverified – inferred,Active India cheque,https://lowercarboncapital.com,A,pending_confirmation
Congruent Ventures,VC,"Seed, Series A",,Climate / Sustainability,,https://congruentvc.com,,,,,,Unverified – inferred,Active India cheque,https://congruentvc.com,A,pending_confirmation
Energy Impact Partners,VC,"Series A, Series B",,Climate / Sustainability,,https://www.energyimpactpartners.com,,,,,,Unverified – inferred,Active India cheque,https://www.energyimpactpartners.com,A,pending_confirmation
