Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Villgro,Accelerator,"Pre-Seed, Seed",,"Impact, Agritech / Food, Health",,https://villgro.org,,,,,,Unverified – inferred,HQ India,https://villgro.org,B,approved_high
IIT Madras Incubation Cell,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.incubation.iitm.ac.in,,,,,,Unverified – inferred,HQ India,https://www.incubation.iitm.ac.in,B,approved_high
SINE IIT Bombay,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://sineiitb.org,,,,,,Unverified – inferred,HQ India,https://sineiitb.org,B,approved_high
FITT IIT Delhi,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://fitt-iitd.in,,,,,,Unverified – inferred,HQ India,https://fitt-iitd.in,B,approved_high
SIIC IIT Kanpur,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://siic.iitk.ac.in,,,,,,Unverified – inferred,HQ India,https://siic.iitk.ac.in,B,approved_high
IIM Calcutta Innovation Park,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://www.iimcip.org,,,,,,Unverified – inferred,HQ India,https://www.iimcip.org,B,approved_high
ISB DLabs / CEL,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://cel.isb.edu,,,,,,Unverified – inferred,HQ India,https://cel.isb.edu,B,approved_high
Startup Oasis,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://startupoasis.in,,,,,,Unverified – inferred,HQ India,https://startupoasis.in,B,approved_high
Forge Innovation & Ventures,Accelerator,"Pre-Seed, Seed",,Deep Tech,,https://www.forgeforward.in,,,,,,Unverified – inferred,HQ India,https://www.forgeforward.in,B,approved_high
KIIT-TBI,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://kiitincubator.in,,,,,,Unverified – inferred,HQ India,https://kiitincubator.in,B,approved_high
PSG-STEP,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://psgstep.org,,,,,,Unverified – inferred,HQ India,https://psgstep.org,B,approved_high
NIDHI PRAYAS,Accelerator,Pre-Seed,,Deep Tech,,https://www.nstedb.com,,,,,,Unverified – inferred,HQ India,https://www.nstedb.com,B,approved_high
AIC-SMU Technology Business Incubation Foundation,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,,,,,,,Unverified – inferred,HQ India,https://www.startupindia.gov.in,B,approved_high
NASSCOM 10000 Startups,Accelerator,"Pre-Seed, Seed",,Sector Agnostic,,https://10000startups.com,,,,,,Unverified – inferred,HQ India,https://10000startups.com,B,approved_high
Nativelead Foundation / Nativelead Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://nativelead.com,,,,,,Unverified – inferred,HQ India,https://nativelead.com,B,approved_high
TiE Delhi-NCR Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://delhi.tie.org,,,,,,Unverified – inferred,HQ India,https://delhi.tie.org,B,approved_high
TiE Bangalore Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://bangalore.tie.org,,,,,,Unverified – inferred,HQ India,https://bangalore.tie.org,B,approved_high
TiE Mumbai Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://mumbai.tie.org,,,,,,Unverified – inferred,HQ India,https://mumbai.tie.org,B,approved_high
TiE Hyderabad Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://hyderabad.tie.org,,,,,,Unverified – inferred,HQ India,https://hyderabad.tie.org,B,approved_high
TiE Chennai Angels,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://chennai.tie.org,,,,,,Unverified – inferred,HQ India,https://chennai.tie.org,B,approved_high
IAMAI Angel Network,Syndicate / Network,"Pre-Seed, Seed",,"Consumer / D2C, Media",,https://www.iamai.in,,,,,,Unverified – inferred,HQ India,https://www.iamai.in,B,approved_high
JITO Angel Network,Syndicate / Network,"Pre-Seed, Seed",,Sector Agnostic,,https://www.jito.org,,,,,,Unverified – inferred,HQ India,https://www.jito.org,B,approved_high
Bangalore Bioinnovation Centre Angels / BBC,Accelerator,"Pre-Seed, Seed",,"Health, Deep Tech",,https://www.bioinnovationcentre.com,,,,,,Unverified – inferred,HQ India,https://www.bioinnovationcentre.com,B,approved_high
Caspian Impact Investments,VC,"Seed, Series A",,"Impact, Fintech",,https://www.caspian.in,,,,,,Unverified – inferred,HQ India,https://www.caspian.in,B,approved_high
HDFC Capital,VC,"Series A, Series B",,PropTech / Real Estate,,https://www.hdfccapital.com,,,,,,Unverified – inferred,HQ India,https://www.hdfccapital.com,B,approved_high
Tata Capital Innovations,Corporate / CVC,"Seed, Series A",,"Fintech, Sector Agnostic",,https://www.tatacapital.com,,,,,,Unverified – inferred,HQ India,https://www.tatacapital.com,B,approved_high
NIIF,VC,"Series B, Growth",,Sector Agnostic,,https://www.niifindia.in,,,,,,Unverified – inferred,HQ India,https://www.niifindia.in,B,approved_high
NABKISAN Finance / NABARD ecosystem,VC,"Seed, Series A",,Agritech / Food,,https://www.nabard.org,,,,,,Unverified – inferred,HQ India,https://www.nabard.org,B,approved_high
Wipro Ventures,Corporate / CVC,"Seed, Series A",,SaaS / Enterprise,,https://www.wipro.com,,,,,,Unverified – inferred,HQ India,https://www.wipro.com,B,approved_high
