Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Kalyan Krishnamurthy,Angel / Individual,"Pre-Seed, Seed",,"Consumer / D2C, Logistics",,,,Flipkart CEO angel activity,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Harsh Mariwala,Angel / Individual,"Pre-Seed, Seed, Series A",,Consumer / D2C,,,,Marico / Sharrp — personal angel cheques,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Ashni Biyani,Angel / Individual,"Pre-Seed, Seed",,Consumer / D2C,,,,Future Group next-gen / retail,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Meena Ganesh,Angel / Individual,"Pre-Seed, Seed, Series A",,"Health, Consumer / D2C",,,,Portal player / health operator angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Ganesh Krishnan,Angel / Individual,"Pre-Seed, Seed, Series A",,Sector Agnostic,,,,Serial entrepreneur angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
K Ganesh,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,May overlap Ganesh Krishnan — keep if distinct,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Revathi Kant,Angel / Individual,"Pre-Seed, Seed",,Consumer / D2C,,,,Tata Consumer / brand operator,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Sairee Chahal,Angel / Individual,"Pre-Seed, Seed",,"Impact, Consumer / D2C",,,,Sheroes founder angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Anisha Singh,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,mydala / operator angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Suchi Mukherjee,Angel / Individual,"Pre-Seed, Seed",,Consumer / D2C,,,,Limeroad founder angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Manish Tandon,Angel / Individual,"Pre-Seed, Seed",,Consumer / D2C,,,,Limeroad,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Praveen Sinha,Angel / Individual,"Pre-Seed, Seed",,"Logistics, Consumer / D2C",,,,Jabong co-founder,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Lakshmi Reddy,Angel / Individual,"Pre-Seed, Seed",,Consumer / D2C,,,,deal press,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Sridhar Vembu,Angel / Individual,"Pre-Seed, Seed",,SaaS / Enterprise,,,,Zoho founder angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Shekhar Kirani,Angel / Individual,"Pre-Seed, Seed",,SaaS / Enterprise,,,,Accel partner personal angel cheques,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Prashanth Prakash,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Accel partner personal angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Abheek Anand,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Peak XV / Sequoia partner angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Shailendra Singh,Angel / Individual,"Pre-Seed, Seed, Series A",,Sector Agnostic,,,,Peak XV partner angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Ravi Adusumalli,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Elevation / SAIF legacy angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Karthik Reddy,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Blume co-founder personal angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Sanjay Nath,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Blume co-founder personal angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Vani Kola,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Kalaari MD personal angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Sasha Mirchandani,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Kae Capital — personal angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Anand Ladsariya,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Kae / angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Rehan Yahya,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Operator / angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Bala Parthasarathy,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Micromax / angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Rahul Chandra,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Helion / personal,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Ashish Gupta,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Helion / LinkedIn India angel,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
Sanjiv Kaul,Angel / Individual,"Pre-Seed, Seed",,Sector Agnostic,,,,Chiratae / personal,,,,Unverified – inferred,HQ India,deal press,C-angels,approved_high
