Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
Avaana Capital,VC,"Seed, Series A",,Climate / Sustainability,,https://avaanacapital.com,,Climate VC,,,,Unverified – inferred,HQ India,https://avaanacapital.com,D-vc-accel,approved_high
NABVENTURES,VC,"Seed, Series A",,Agritech / Food,,https://nabventures.in,,NABARD venture arm,,,,Unverified – inferred,HQ India,https://nabventures.in,D-vc-accel,approved_high
Seedfund,VC,"Pre-Seed, Seed",,Sector Agnostic,,https://seedfund.com,,Early-stage India VC,,,,Unverified – inferred,HQ India,https://seedfund.com,D-vc-accel,approved_high
Infuse Ventures,VC,"Seed, Series A",,Climate / Sustainability,,https://infuseventures.com,,CIIE climate VC,,,,Unverified – inferred,HQ India,https://infuseventures.com,D-vc-accel,approved_high
Asha Impact,VC,"Seed, Series A",,Impact,,https://ashaimpact.com,,Impact VC,,,,Unverified – inferred,HQ India,https://ashaimpact.com,D-vc-accel,approved_high
Circulate Capital,VC,"Seed, Series A",,Climate / Sustainability,,https://circulatecapital.com,,Ocean plastics / climate,,,,Unverified – inferred,Active India cheque,https://circulatecapital.com,D-vc-accel,approved_high
Amicus Capital,VC,"Series A, Series B",,Sector Agnostic,,https://amicuscapital.in,,India growth capital,,,,Unverified – inferred,HQ India,https://amicuscapital.in,D-vc-accel,approved_high
Zodius Capital,VC,"Series A, Series B",,Sector Agnostic,,,,Legacy India VC,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Know3 Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,Early-stage,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Astir Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,Early-stage,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
Locomotive Ventures,VC,"Pre-Seed, Seed",,Sector Agnostic,,,,Early-stage,,,,Unverified – inferred,HQ India,deal press,D-vc-accel,approved_high
