Company,Company Type,"Invests in(Preseed, Seed, Series A ...)",Company Thesis,Sector,Cheque Size,Website,Company Linkedin,Notes,Investment Criteria (evaluation),Process / Extra Notes,Detailed Writeup (~200 words),Data Confidence,India relevance,Source,Wave,Status
021 Capital,VC,"Seed, Series A",,,,https://021.capital,,SEBI AIF1; IN/AIF1/17-18/0384,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
108 Capital,VC,"Seed, Series A",,,,https://108.vc,,SEBI AIF2; IN/AIF2/23-24/1349,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
77 East Ventures,VC,"Seed, Series A",,,,https://77eastvp.com,,SEBI AIF1; IN/AIF1/23-24/1390,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
888 VC,Accelerator,"Pre-Seed, Seed",,,,https://888vc.co,,SEBI AIF1; IN/AIF1/24-25/1727,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Aagama Ventures,VC,"Seed, Series A",,,,https://aagama.vc,,SEBI AIF2; IN/AIF2/25-26/1879,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Advantedge,VC,"Seed, Series A",,,,https://advantedge.vc,,SEBI AIF1; IN/AIF1/19-20/0754,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Allvest,PE,"Series B, Series C+",,,,https://allvest.co,,SEBI AIF2; IN/AIF2/26-27/2149,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Alyxis Ventures,VC,"Seed, Series A",,,,https://alyxisventures.com,,SEBI AIF2; IN/AIF2/24-25/1504,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Asha Ventures,VC,"Seed, Series A",,,,https://ashaventures.in,,SEBI AIF2; IN/AIF2/22-23/1143,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Audacity Ventures,VC,"Seed, Series A",,,,https://audacityvc.com,,SEBI AIF2; IN/AIF2/22-23/1148,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
AudTen Capital,VC,"Seed, Series A",,,,https://audten.vc,,SEBI AIF1; IN/AIF1/25-26/2015,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Avatar Growth Capital,PE,"Series B, Series C+",,,,https://avatargcp.com,,SEBI AIF2; IN/AIF2/25-26/2077,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Beams VC,VC,"Seed, Series A",,,,https://beams.vc,,SEBI AIF2; IN/AIF2/21-22/0959,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
BeyondSeed,Angel,"Pre-Seed, Seed",,,,https://beyondseed.sg,,SEBI AIF1; IN/AIF1/24-25/1529,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Breathe Capital,VC,"Seed, Series A",,,,https://breathecap.com,,SEBI AIF1; IN/AIF1/24-25/1493,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Capitar Ventures,VC,"Seed, Series A",,,,https://capitar.in,,"SEBI AIF2; IN/AIF1/26-27/2194, IN/AIF2/22-23/1134",,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
CDM Capital,VC,"Seed, Series A",,,,https://cdmcapital.in,,SEBI AIF1; IN/AIF1/22-23/1165,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Chakra Fund,VC,"Seed, Series A",,,,https://chakra.fund,,SEBI AIF1; IN/AIF1/23-24/1296,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
Cogniphy,Angel,"Pre-Seed, Seed",,,,https://cogniphy.us,,SEBI AIF1; IN/AIF1/22-23/1242,,,,Unverified – inferred,HQ India,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=16,E-sebi-aif,approved_high
