slug,name,type,url
"sequoia-india-peak-xv","Sequoia (India) / Peak XV","Venture Capital","https://vcdekho.com/funds/sequoia-india-peak-xv"
"kalaari-capital","Kalaari Capital","Venture Capital","https://vcdekho.com/funds/kalaari-capital"
"nexus-venture-partners","Nexus Venture Partners","Venture Capital","https://vcdekho.com/funds/nexus-venture-partners"
"sanjay-mehta","Sanjay Mehta","Family Office","https://vcdekho.com/funds/sanjay-mehta"
"kunal-shah","Kunal Shah","Angel / Individual","https://vcdekho.com/funds/kunal-shah"
"anand-chandrasekaran","Anand Chandrasekaran","Angel / Individual","https://vcdekho.com/funds/anand-chandrasekaran"
"kunal-bahl","Kunal Bahl","Angel / Individual","https://vcdekho.com/funds/kunal-bahl"
"gaurav-munjal","Gaurav Munjal","Angel / Individual","https://vcdekho.com/funds/gaurav-munjal"
"ritesh-agarwal","Ritesh Agarwal","Family Office","https://vcdekho.com/funds/ritesh-agarwal"
"anupam-mittal","Anupam Mittal","Angel / Individual","https://vcdekho.com/funds/anupam-mittal"
"indian-angel-network-ian","Indian Angel Network (IAN)","Syndicate / Network","https://vcdekho.com/funds/indian-angel-network-ian"
"zeropearl-vc","Zeropearl VC","Venture Capital","https://vcdekho.com/funds/zeropearl-vc"
"premji-invest","Premji Invest","Family Office","https://vcdekho.com/funds/premji-invest"
"unicorn-india-ventures","Unicorn India Ventures","Venture Capital","https://vcdekho.com/funds/unicorn-india-ventures"
"sun-icon-ventures","Sun Icon Ventures","Venture Capital","https://vcdekho.com/funds/sun-icon-ventures"
"neon-fund","Neon Fund","Venture Capital","https://vcdekho.com/funds/neon-fund"
"pentathlon-ventures","Pentathlon Ventures","Venture Capital","https://vcdekho.com/funds/pentathlon-ventures"
"alkemi-growth-capital","Alkemi Growth Capital","Venture Capital","https://vcdekho.com/funds/alkemi-growth-capital"
"wein-capital","WEIN Capital","Accelerator","https://vcdekho.com/funds/wein-capital"
"warmup-ventures","Warmup Ventures","Venture Capital","https://vcdekho.com/funds/warmup-ventures"
"aureolis-ventures","Aureolis Ventures","Venture Capital","https://vcdekho.com/funds/aureolis-ventures"
"mapleblock-capital","Mapleblock Capital","Venture Capital","https://vcdekho.com/funds/mapleblock-capital"
"sixth-sense-ventures","Sixth Sense Ventures","Venture Capital","https://vcdekho.com/funds/sixth-sense-ventures"
"veritasx","VeritasX","Venture Capital","https://vcdekho.com/funds/veritasx"
"bluegreen-ventures","BlueGreen Ventures","Venture Capital","https://vcdekho.com/funds/bluegreen-ventures"
"disruptors-capital","Disruptors Capital","Venture Capital","https://vcdekho.com/funds/disruptors-capital"
"8x-ventures","8X Ventures","Venture Capital","https://vcdekho.com/funds/8x-ventures"
"silverneedle-ventures","Silverneedle Ventures","Venture Capital","https://vcdekho.com/funds/silverneedle-ventures"
"precog-innovation-partners","Precog Innovation Partners","Venture Capital","https://vcdekho.com/funds/precog-innovation-partners"
"growx-ventures","growX ventures","Venture Capital","https://vcdekho.com/funds/growx-ventures"
"yournest-venture-capital","YourNest Venture Capital","Venture Capital","https://vcdekho.com/funds/yournest-venture-capital"
"venture-catalysts-india-s-first-integrated-incubator","Venture Catalysts | India's First Integrated Incubator","Accelerator","https://vcdekho.com/funds/venture-catalysts-india-s-first-integrated-incubator"
"sangam-ventures","Sangam Ventures","Venture Capital","https://vcdekho.com/funds/sangam-ventures"
"bharat-innovation-fund","Bharat Innovation Fund","Venture Capital","https://vcdekho.com/funds/bharat-innovation-fund"
"omnivore","Omnivore","Venture Capital","https://vcdekho.com/funds/omnivore"
"elevar-equity","Elevar Equity","Venture Capital","https://vcdekho.com/funds/elevar-equity"
"realtime-rtaf","RealTime (RTAF)","Accelerator","https://vcdekho.com/funds/realtime-rtaf"
"elev8-venture-partners","Elev8 Venture Partners","Venture Capital","https://vcdekho.com/funds/elev8-venture-partners"
"india-accelerator","India Accelerator","Accelerator","https://vcdekho.com/funds/india-accelerator"
"enlighten-angel-fund","Enlighten Angel Fund","Angel / Individual","https://vcdekho.com/funds/enlighten-angel-fund"
"we-founder-circle","We Founder Circle","Accelerator","https://vcdekho.com/funds/we-founder-circle"
"kathyawad-ventures","Kathyawad Ventures","Venture Capital","https://vcdekho.com/funds/kathyawad-ventures"
"100unicorns","100Unicorns","Accelerator","https://vcdekho.com/funds/100unicorns"
