slug,name,company,url
"shreya","Shreya","Unicorn India Ventures","https://vcdekho.com/investors/shreya"
"shivam","Shivam","Peaceful Progress","https://vcdekho.com/investors/shivam"
"darshan","Darshan","Sun Icon Ventures","https://vcdekho.com/investors/darshan"
"siddhartha","Siddhartha","Neon Fund","https://vcdekho.com/investors/siddhartha"
"hemant","Hemant","Pentathlon Ventures","https://vcdekho.com/investors/hemant"
"adith","Adith","Gemba Capital","https://vcdekho.com/investors/adith"
"alka","Alka","Alkemi Growth Capital","https://vcdekho.com/investors/alka"
"sunil","Sunil","WEIN Capital","https://vcdekho.com/investors/sunil"
"yogesh","Yogesh","Warmup Ventures","https://vcdekho.com/investors/yogesh"
"paula","Paula","Aureolis Ventures","https://vcdekho.com/investors/paula"
"vijay","Vijay","Mapleblock Capital","https://vcdekho.com/investors/vijay"
"gaurav","Gaurav","JSW Ventures","https://vcdekho.com/investors/gaurav"
"swati","Swati","Sixth Sense Ventures","https://vcdekho.com/investors/swati"
"mira","Mira","VeritasX","https://vcdekho.com/investors/mira"
"alok","Alok","VeritasX","https://vcdekho.com/investors/alok"
"rajeev","Rajeev","BlueGreen Ventures","https://vcdekho.com/investors/rajeev"
"ansh","Ansh","Disruptors Capital","https://vcdekho.com/investors/ansh"
"saloni","Saloni","Sun Icon Ventures","https://vcdekho.com/investors/saloni"
"govind","Govind","8X Ventures","https://vcdekho.com/investors/govind"
"sirish","Sirish","Silverneedle Ventures","https://vcdekho.com/investors/sirish"
"dr-nita","Dr. Nita","Silverneedle Ventures","https://vcdekho.com/investors/dr-nita"
"subramanian","Subramanian","Silverneedle Ventures","https://vcdekho.com/investors/subramanian"
"renuka","Renuka","Silverneedle Ventures","https://vcdekho.com/investors/renuka"
"gurmeet-singh","Gurmeet Singh","Precog Innovation Partners","https://vcdekho.com/investors/gurmeet-singh"
"mukul","Mukul","Precog Innovation Partners","https://vcdekho.com/investors/mukul"
"siddharth","Siddharth","growX ventures","https://vcdekho.com/investors/siddharth"
"ketan","Ketan","YourNest Venture Capital","https://vcdekho.com/investors/ketan"
"mohit","Mohit","YourNest Venture Capital","https://vcdekho.com/investors/mohit"
"siddhartha-2","Siddhartha","Venture Catalysts | India's First Integrated Incubator","https://vcdekho.com/investors/siddhartha-2"
"yash","Yash","Venture Catalysts | India's First Integrated Incubator","https://vcdekho.com/investors/yash"
"pravesh","Pravesh","Venture Catalysts | India's First Integrated Incubator","https://vcdekho.com/investors/pravesh"
"deepika","Deepika","Sangam Ventures","https://vcdekho.com/investors/deepika"
"akshay","Akshay","Vitanova Ventures","https://vcdekho.com/investors/akshay"
"rohit","Rohit","Arali Ventures","https://vcdekho.com/investors/rohit"
"robin-alex","Robin Alex","Unicorn India Ventures","https://vcdekho.com/investors/robin-alex"
"hemendra","Hemendra","Bharat Innovation Fund","https://vcdekho.com/investors/hemendra"
"nagarajan","Nagarajan","Omnivore","https://vcdekho.com/investors/nagarajan"
"kavi","Kavi","Faad Network","https://vcdekho.com/investors/kavi"
"ajit","Ajit","Elevar Equity","https://vcdekho.com/investors/ajit"
"prashant","Prashant","RealTime (RTAF)","https://vcdekho.com/investors/prashant"
"rakhee","Rakhee","RealTime (RTAF)","https://vcdekho.com/investors/rakhee"
"sundeep","Sundeep","Elev8 Venture Partners","https://vcdekho.com/investors/sundeep"
"dhruv","Dhruv","India Accelerator","https://vcdekho.com/investors/dhruv"
"premananth","Premananth","Enlighten Angel Fund","https://vcdekho.com/investors/premananth"
"sheetal","Sheetal","Indian Angel Network","https://vcdekho.com/investors/sheetal"
"matt","Matt","Trifecta Capital","https://vcdekho.com/investors/matt"
"rajesh","Rajesh","Warmup Ventures","https://vcdekho.com/investors/rajesh"
